"metric","lambda_d","lambda_u","method","mean","sd","mcse","q2.5","q97.5","n"
"coverage",2,1,"Fusion",0.969178,0.0137648024245096,0.000435281272036583,0.938,0.99,1000
"coverage",2,1,"deepAFT-RCT-S",0.420482,0.0592409416296295,0.00187336306282716,0.318,0.546,1000
"coverage",2,1,"deepAFT-RCT-T",0.987444,0.0137191500858865,0.000433837618330959,0.948,1,1000
"coverage",2,1,"deepAFT-Pooled-S",0.543102,0.0654159984166629,0.00206863550410623,0.418,0.676,1000
"coverage",2,1,"deepAFT-Pooled-T",0.996856,0.00543330330322032,0.000171816136566927,0.982,1,1000
"coverage",2,2,"Fusion",0.970608,0.0132950778521638,0.000420427276820968,0.93795,0.992,1000
"coverage",2,2,"deepAFT-RCT-S",0.417172,0.0595769740070091,0.00188398933962797,0.30995,0.54005,1000
"coverage",2,2,"deepAFT-RCT-T",0.986658,0.0147035788579254,0.000464967989469416,0.944,1,1000
"coverage",2,2,"deepAFT-Pooled-S",0.55291,0.0659812809017029,0.0020865113058475,0.4259,0.68215,1000
"coverage",2,2,"deepAFT-Pooled-T",0.996078,0.00595124636805883,0.000188194934398706,0.982,1,1000
"postvar",0,0,"Fusion",0.477673246839331,0.0380053833231636,0.00120183574648976,0.41025726863429,0.556075049584248,1000
"postvar",0,0,"deepAFT-RCT-S",0.164742448706175,0.105848179508223,0.00334721333428346,0.0587107048126797,0.445981162646915,1000
"postvar",0,0,"deepAFT-RCT-T",4.4284713969197,2.71770285714095,0.0859413103211261,1.58866855055222,11.4544689408934,1000
"postvar",0,0,"deepAFT-Pooled-S",0.194040543268904,0.120773246500447,0.00381918539354373,0.076707003572501,0.517845181714523,1000
"postvar",0,0,"deepAFT-Pooled-T",5.67819891908056,3.10521248964851,0.0981954408609132,1.6380513113379,13.55067454681,1000
"postvar",0,1,"Fusion",0.492177018232886,0.0379991882122035,0.00120163983987985,0.422546253045065,0.568987614616146,1000
"postvar",0,1,"deepAFT-RCT-S",0.125424132319298,0.0750304593829885,0.00237267145538995,0.0562931796303445,0.348410664363763,1000
"postvar",0,1,"deepAFT-RCT-T",3.13014724357095,2.0474773681535,0.0647469194101217,1.49688388189371,8.64590086284803,1000
"postvar",0,1,"deepAFT-Pooled-S",0.208345941870871,0.139443826164731,0.00440960096329132,0.075351947650081,0.595974043433066,1000
"postvar",0,1,"deepAFT-Pooled-T",5.59739566269355,3.20399235664339,0.101319134527636,1.66342535233143,13.5740249462161,1000
"postvar",0,2,"Fusion",0.523337460274609,0.0396191344435244,0.00125286703765965,0.448754564771383,0.606931484274218,1000
"postvar",0,2,"deepAFT-RCT-S",0.108284295564316,0.0593604339635448,0.00187714174220818,0.0558596191070575,0.212629110466774,1000
"postvar",0,2,"deepAFT-RCT-T",2.4858260835082,1.30906734998129,0.0413963443650165,1.48695933147392,6.35727381521979,1000
"postvar",0,2,"deepAFT-Pooled-S",0.233275845750703,0.138666841659943,0.00438503055587344,0.0992967850931979,0.605100217375703,1000
"postvar",0,2,"deepAFT-Pooled-T",5.32611523620653,3.30519188926898,0.10451934474005,1.77872858909397,13.8368851030991,1000
"postvar",1,0,"Fusion",0.503438379170506,0.0386450426214198,0.00122206354957971,0.438362589462415,0.582650737966186,1000
"postvar",1,0,"deepAFT-RCT-S",0.166906440179024,0.119474347799686,0.00377811061010133,0.0607346506918559,0.507719660942826,1000
"postvar",1,0,"deepAFT-RCT-T",4.776402006074,3.01667160469706,0.0953955322359781,1.58131147318665,12.4339387115734,1000
"postvar",1,0,"deepAFT-Pooled-S",0.197917451048888,0.125900944396855,0.00398133743860276,0.0791335092487149,0.542622845482663,1000
"postvar",1,0,"deepAFT-Pooled-T",6.06482944789215,3.43872110130121,0.108741909181944,1.7200930882208,14.0485607203411,1000
"postvar",1,1,"Fusion",0.519821153089496,0.040012802998789,0.00126531593043789,0.444269133823449,0.598983811280343,1000
"postvar",1,1,"deepAFT-RCT-S",0.128402320165557,0.0822977650751306,0.00260248383978871,0.0570630862750367,0.337680514670778,1000
"postvar",1,1,"deepAFT-RCT-T",3.3599883966148,2.22721152153049,0.0704306123900551,1.48084827601898,9.58631712342782,1000
"postvar",1,1,"deepAFT-Pooled-S",0.202579204132503,0.13409835035218,0.00424056217584131,0.0796213187865148,0.562058171978609,1000
"postvar",1,1,"deepAFT-Pooled-T",6.10201633477568,3.62427958606044,0.114667131598394,1.81651505910903,15.2069148633441,999
"postvar",1,2,"Fusion",0.54813211829888,0.0423534687214296,0.00133933427968417,0.464422330314379,0.631701829259025,1000
"postvar",1,2,"deepAFT-RCT-S",0.104517725953599,0.0490473703233041,0.0015510140346339,0.0537013814038479,0.231695758091879,1000
"postvar",1,2,"deepAFT-RCT-T",2.64282751883074,1.51306524407659,0.0478473241972061,1.46882022314583,7.17229335830857,1000
"postvar",1,2,"deepAFT-Pooled-S",0.238393930984423,0.136630056347792,0.00432062174896171,0.0982964860716431,0.615925671192519,1000
"postvar",1,2,"deepAFT-Pooled-T",5.79899511990194,3.68823301176221,0.116632168585912,1.86928729992318,15.406157807233,1000
"postvar",2,0,"Fusion",0.564356527051639,0.0437933229717739,0.00138486646898179,0.484752550235275,0.653944950003383,1000
"postvar",2,0,"deepAFT-RCT-S",0.186254028698087,0.1476378406253,0.00466871845204886,0.059885079626467,0.593360570397884,1000
"postvar",2,0,"deepAFT-RCT-T",5.28007203664616,3.46234949051212,0.109489104455418,1.5736609758078,14.1799262297963,1000
"postvar",2,0,"deepAFT-Pooled-S",0.199668038242648,0.137593530860453,0.00435108948823698,0.0806753948793088,0.59437856932956,1000
"postvar",2,0,"deepAFT-Pooled-T",6.85424465501948,3.86251676831378,0.122143504884644,1.91060990459222,15.9861093522374,1000
"postvar",2,1,"Fusion",0.577782470896717,0.0457012762917957,0.00144520125058728,0.494644936732179,0.668022961644644,1000
"postvar",2,1,"deepAFT-RCT-S",0.127042791656793,0.0958345366763272,0.00303055414404137,0.0497865247416504,0.426497523600395,1000
"postvar",2,1,"deepAFT-RCT-T",3.76064520143545,2.8525784807177,0.0902064520345065,1.52744217218664,11.3757480543372,1000
"postvar",2,1,"deepAFT-Pooled-S",0.212969564170563,0.142176628326178,0.00449601975553935,0.081372008065135,0.622583410389151,1000
"postvar",2,1,"deepAFT-Pooled-T",7.36820113990636,4.34173872405951,0.137297833733814,2.02990127896906,18.4774866318502,1000
"postvar",2,2,"Fusion",0.609835982419355,0.0457908871341382,0.00144803499423577,0.521843571790903,0.707735486681726,1000
"postvar",2,2,"deepAFT-RCT-S",0.101324928028665,0.0547808947331135,0.0017323239961856,0.050309096901115,0.226241960320422,1000
"postvar",2,2,"deepAFT-RCT-T",2.6630532530246,1.78422947182226,0.0564222899935756,1.48707583589995,8.05331604336486,1000
"postvar",2,2,"deepAFT-Pooled-S",0.251300206442661,0.154216378347541,0.00487675008080503,0.100243629725517,0.654935892284548,1000
"postvar",2,2,"deepAFT-Pooled-T",7.34286480669818,4.20191176971794,0.132876117193776,2.09243640781266,17.7416346199099,1000
