"method","population","lambda_d","lambda_u","rmse","bias","coverage","width","postvar","bias_var"
"deepAFT-Pooled-T","RWD",0,2,1.32224119243686,0.203665269380903,0.987837142857143,4.84999262866101,3.60144994203918,2.30528531059087
"Fusion","RWD",1,0,0.677207163415203,-0.0314561835824774,0.961794285714286,2.78173624146374,0.507007327237424,0.0430814905400221
"deepAFT-RCT-S","RWD",1,0,1.11632535625661,-0.195890530286531,0.371806091806092,0.939803590015956,0.0692144451079745,0.0354087227160114
"deepAFT-RCT-T","RWD",1,0,1.26501112744896,-0.228315843880301,0.910679250679251,3.77347111712826,1.69853355722331,0.0950446292094853
"deepAFT-Pooled-S","RWD",1,0,1.0820585174665,-0.134412064161088,0.417674285714286,0.986516548855613,0.120913096003089,0.0334410320818702
"deepAFT-Pooled-T","RWD",1,0,1.30941303243211,0.0197293134748249,0.993508571428571,4.87588914602001,4.18340632029586,2.28842489262499
"Fusion","RWD",1,1,0.677496685392911,-0.0251396823235485,0.963871428571429,2.82706910151304,0.523698170201427,0.0445752602468981
"deepAFT-RCT-S","RWD",1,1,1.11766432958344,-0.185063495140593,0.374517374517374,0.948010131910459,0.0676001907641183,0.038246349125477
"deepAFT-RCT-T","RWD",1,1,1.26416977255599,-0.248500855235968,0.914368987796124,3.77491799163477,1.18481885085415,0.0937534963805712
"deepAFT-Pooled-S","RWD",1,1,1.10762350550622,0.105752343815168,0.44356,0.99342696028864,0.125320447302958,0.0421831659012876
"deepAFT-Pooled-T","RWD",1,1,1.35512944449343,0.137491430452206,0.991445714285714,4.92718848219807,4.13139891298285,2.85856845453448
"Fusion","RWD",1,2,0.693822297363474,-0.0216168585550731,0.963108571428571,2.90426357889606,0.552557413622835,0.0451918233412901
"deepAFT-RCT-S","RWD",1,2,1.1253749857363,-0.189914023718452,0.364613184613185,0.928698005124616,0.0646642866444714,0.0375996230725696
"deepAFT-RCT-T","RWD",1,2,1.26678973596793,-0.233791279605884,0.913770397938735,3.76231102611191,1.12145098584733,0.082605055838064
"deepAFT-Pooled-S","RWD",1,2,1.17314005148173,0.354389925606627,0.450217142857143,1.1176442539371,0.146511832873908,0.0458568076622624
"deepAFT-Pooled-T","RWD",1,2,1.30025639659922,0.207273305836719,0.988068571428571,4.9812754817241,4.06652001787125,1.06400428690782
"Fusion","RWD",2,0,0.67375412056326,-0.0358066493605241,0.969834285714286,2.9460940201123,0.56892111430678,0.0472188253098111
"deepAFT-RCT-S","RWD",2,0,1.12682815070268,-0.200751697877602,0.367439461240865,0.942068934072108,0.0730948959431974,0.0401850613886372
"deepAFT-RCT-T","RWD",2,0,1.28024603044613,-0.27480032904925,0.91981123981124,3.85974648965118,17.5533976146385,0.12186135046676
"deepAFT-Pooled-S","RWD",2,0,1.08921708509373,-0.114390220755894,0.42862,1.02695531359148,0.130567181035915,0.0333861172591582
"deepAFT-Pooled-T","RWD",2,0,1.53090877854966,-0.0519415661705337,0.992857142857143,5.1332226443432,4.72504102808703,3.0477323040787
"Fusion","RWD",2,1,0.681033466581494,-0.0113644733377507,0.96876,2.98162428725158,0.58265014416956,0.046535686684211
"deepAFT-RCT-S","RWD",2,1,1.128876150029,-0.196180580514825,0.363794285714286,0.927966195400733,0.0671757905802071,0.0389103398483709
"deepAFT-RCT-T","RWD",2,1,1.2746166774709,-0.245456347683749,0.922127842127842,3.80622261054708,10.9918779448183,0.134161702752075
"deepAFT-Pooled-S","RWD",2,1,1.11676993570167,0.09849881189174,0.445062857142857,1.03282436027442,0.12978962500379,0.0367947350160842
"deepAFT-Pooled-T","RWD",2,1,1.49452558537788,0.043269005773283,0.991888571428571,5.2256567976979,5.18045659346882,3.18589972803767
"Fusion","RWD",2,2,0.68574846850538,-0.0020819896539658,0.970122857142857,3.0644183015836,0.615262040590177,0.0483263709466657
